datetime,TATACHEM_open,TATACHEM_high,TATACHEM_low,TATACHEM_close,TATACHEM_volume
2023-07-27 13:50:59,996.45,997.05,996.2,997.05,2609.0
2023-07-27 13:51:59,997.1,997.45,997.0,997.4,196.0
2023-07-27 13:52:59,997.4,997.7,996.7,997.5,837.0
2023-07-27 13:53:59,997.5,997.7,997.4,997.4,93.0
2023-07-27 13:54:59,997.4,997.7,997.4,997.6,368.0
2023-07-27 13:55:59,997.0,997.0,995.95,996.7,6102.0
2023-07-27 13:56:59,996.7,996.7,996.0,996.0,1235.0
2023-07-27 13:57:59,996.0,996.65,996.0,996.6,1005.0
2023-07-27 13:58:59,996.0,996.6,995.85,996.15,1274.0
2023-07-27 13:59:59,996.15,996.55,996.0,996.45,362.0
2023-07-27 14:00:59,996.3,996.3,995.85,996.1,1068.0
2023-07-27 14:01:59,996.1,996.15,995.0,995.3,509.0
2023-07-27 14:02:59,995.05,995.25,994.05,994.5,3430.0
2023-07-27 14:03:59,994.5,994.65,994.0,994.5,2174.0
2023-07-27 14:04:59,994.5,994.85,993.65,994.05,5607.0
2023-07-27 14:05:59,994.05,994.35,993.65,994.35,1464.0
2023-07-27 14:06:59,994.35,994.4,993.65,993.7,3679.0
2023-07-27 14:07:59,993.7,994.4,993.7,994.15,4198.0
2023-07-27 14:08:59,994.0,994.05,993.75,993.75,3102.0
2023-07-27 14:09:59,993.8,993.95,993.65,993.9,1641.0
2023-07-27 14:10:59,994.0,994.1,993.95,994.0,2874.0
2023-07-27 14:11:59,994.0,994.3,993.8,994.0,4253.0
2023-07-27 14:12:59,994.0,994.4,994.0,994.4,127.0
2023-07-27 14:13:59,994.4,994.65,994.25,994.4,875.0
2023-07-27 14:14:59,994.1,994.65,994.1,994.45,1566.0
2023-07-27 14:15:59,994.1,994.45,994.05,994.45,330.0
2023-07-27 14:16:59,994.45,994.85,994.25,994.25,386.0
2023-07-27 14:17:59,994.7,994.75,994.2,994.65,125.0
2023-07-27 14:18:59,994.65,994.75,994.2,994.2,146.0
2023-07-27 14:19:59,994.2,994.7,994.1,994.35,1003.0
2023-07-27 14:20:59,994.35,994.35,993.8,994.2,848.0
2023-07-27 14:21:59,994.2,994.25,993.8,994.15,4368.0
2023-07-27 14:22:59,994.0,994.15,994.0,994.0,530.0
2023-07-27 14:23:59,994.4,994.6,994.0,994.35,1622.0
2023-07-27 14:24:59,994.35,994.6,994.05,994.3,1870.0
2023-07-27 14:25:59,994.65,994.85,994.35,994.85,671.0
2023-07-27 14:26:59,994.85,994.85,994.25,994.25,613.0
2023-07-27 14:27:59,994.1,994.15,993.25,993.6,3553.0
2023-07-27 14:28:59,993.65,993.95,993.15,993.15,1200.0
2023-07-27 14:29:59,993.15,993.9,993.0,993.9,12732.0
2023-07-27 14:30:59,993.9,993.9,993.1,993.1,264.0
2023-07-27 14:31:59,993.1,993.7,993.0,993.5,1825.0
2023-07-27 14:32:59,993.5,993.85,993.25,993.3,2795.0
2023-07-27 14:33:59,993.3,993.7,992.8,993.55,10855.0
2023-07-27 14:34:59,993.55,993.6,993.0,993.4,1962.0
2023-07-27 14:35:59,993.05,993.65,992.95,993.0,8703.0
2023-07-27 14:36:59,993.0,993.35,992.9,993.0,2965.0
2023-07-27 14:37:59,992.95,993.55,992.95,993.0,1926.0
2023-07-27 14:38:59,993.0,993.55,992.85,993.0,1137.0
2023-07-27 14:39:59,993.0,993.65,993.0,993.65,3415.0
2023-07-27 14:40:59,993.65,994.45,993.1,993.6,3269.0
2023-07-27 14:41:59,993.6,994.25,993.15,994.2,1904.0
2023-07-27 14:42:59,994.4,994.4,993.05,994.15,2568.0
2023-07-27 14:43:59,993.8,995.3,993.8,995.2,14672.0
2023-07-27 14:44:59,995.0,995.15,994.75,994.9,5430.0
2023-07-27 14:45:59,994.9,995.25,994.6,995.1,4133.0
2023-07-27 14:46:59,995.05,995.3,994.8,995.0,917.0
2023-07-27 14:47:59,995.0,995.35,994.6,995.3,1448.0
2023-07-27 14:48:59,995.3,995.55,994.75,994.85,981.0
2023-07-27 14:49:59,994.6,995.55,994.6,994.9,588.0
2023-07-27 14:50:59,994.9,995.8,994.9,995.8,719.0
2023-07-27 14:51:59,995.8,995.9,995.3,995.45,810.0
2023-07-27 14:52:59,995.45,995.65,995.05,995.05,1049.0
2023-07-27 14:53:59,995.0,995.65,994.35,995.15,1958.0
2023-07-27 14:54:59,994.8,994.95,994.1,994.55,1404.0
2023-07-27 14:55:59,994.5,994.55,992.7,993.1,26359.0
2023-07-27 14:56:59,993.1,993.15,992.15,993.1,12783.0
2023-07-27 14:57:59,993.1,993.75,993.05,993.75,2117.0
2023-07-27 14:58:59,993.75,993.75,993.0,993.0,198.0
2023-07-27 14:59:59,993.1,993.4,993.0,993.4,406.0
2023-07-27 15:00:59,993.3,994.4,993.3,994.0,1800.0
2023-07-27 15:01:59,994.0,994.6,993.6,994.15,435.0
2023-07-27 15:02:59,994.15,995.85,994.15,995.15,2862.0
2023-07-27 15:03:59,995.15,995.15,993.5,993.75,6774.0
2023-07-27 15:04:59,993.75,993.95,993.0,993.85,2911.0
2023-07-27 15:05:59,993.85,993.85,993.2,993.7,983.0
2023-07-27 15:06:59,993.7,993.7,993.05,993.4,2073.0
2023-07-27 15:07:59,993.1,993.8,993.1,993.8,2202.0
2023-07-27 15:08:59,993.8,993.8,993.5,993.6,1358.0
2023-07-27 15:09:59,993.6,993.6,993.3,993.55,432.0
2023-07-27 15:10:59,994.0,994.0,993.35,993.35,568.0
2023-07-27 15:11:59,993.45,993.6,993.2,993.4,5690.0
2023-07-27 15:12:59,993.4,993.4,993.0,993.05,4009.0
2023-07-27 15:13:59,993.05,993.5,993.05,993.5,5018.0
2023-07-27 15:14:59,993.5,993.6,993.15,993.15,1946.0
2023-07-27 15:15:59,993.05,993.5,993.05,993.05,2215.0
2023-07-27 15:16:59,993.0,993.25,992.15,992.15,36469.0
