datetime,NIFTY BANK_open,NIFTY BANK_high,NIFTY BANK_low,NIFTY BANK_close
2023-05-08 11:14:59,43243.9,43265.2,43241.0,43257.85
2023-05-08 11:15:59,43258.65,43270.85,43254.55,43255.05
2023-05-08 11:16:59,43252.05,43259.15,43248.6,43254.25
2023-05-08 11:17:59,43251.75,43255.85,43248.15,43252.2
2023-05-08 11:18:59,43254.0,43254.0,43242.05,43243.6
2023-05-08 11:19:59,43246.65,43264.5,43244.6,43253.95
2023-05-08 11:20:59,43255.85,43258.9,43238.7,43238.7
2023-05-08 11:21:59,43239.1,43239.1,43214.6,43223.75
2023-05-08 11:22:59,43223.35,43233.3,43222.95,43228.65
2023-05-08 11:23:59,43226.8,43245.25,43226.8,43235.1
2023-05-08 11:24:59,43234.5,43244.6,43228.4,43243.2
2023-05-08 11:25:59,43243.5,43260.2,43230.15,43232.3
2023-05-08 11:26:59,43231.2,43233.2,43221.7,43226.45
2023-05-08 11:27:59,43225.45,43231.3,43222.6,43228.9
2023-05-08 11:28:59,43226.05,43236.6,43226.05,43226.75
2023-05-08 11:29:59,43227.0,43238.6,43220.0,43229.45
2023-05-08 11:30:59,43228.35,43242.2,43227.6,43233.15
2023-05-08 11:31:59,43231.3,43232.35,43211.45,43212.75
2023-05-08 11:32:59,43210.05,43225.5,43208.7,43217.85
2023-05-08 11:33:59,43222.05,43232.05,43218.15,43223.1
2023-05-08 11:34:59,43221.15,43229.05,43213.3,43213.45
2023-05-08 11:35:59,43218.1,43241.55,43215.7,43240.55
2023-05-08 11:36:59,43239.3,43257.9,43236.85,43257.35
2023-05-08 11:37:59,43258.15,43270.6,43258.15,43270.6
2023-05-08 11:38:59,43270.5,43279.45,43264.55,43276.4
2023-05-08 11:39:59,43278.3,43290.25,43273.35,43287.75
2023-05-08 11:40:59,43289.95,43292.2,43283.4,43288.55
2023-05-08 11:41:59,43288.7,43299.1,43286.9,43290.85
2023-05-08 11:42:59,43290.4,43295.95,43274.0,43293.15
2023-05-08 11:43:59,43293.55,43297.25,43285.4,43292.7
2023-05-08 11:44:59,43291.8,43298.6,43289.25,43289.9
2023-05-08 11:45:59,43289.45,43297.15,43285.65,43292.0
2023-05-08 11:46:59,43291.45,43291.45,43278.65,43288.6
2023-05-08 11:47:59,43289.95,43295.55,43285.45,43291.4
2023-05-08 11:48:59,43287.15,43300.55,43285.25,43300.55
2023-05-08 11:49:59,43301.65,43312.1,43300.45,43307.35
2023-05-08 11:50:59,43306.75,43313.65,43299.8,43305.75
2023-05-08 11:51:59,43303.95,43304.05,43280.25,43293.75
2023-05-08 11:52:59,43294.2,43307.3,43289.35,43306.85
2023-05-08 11:53:59,43308.6,43311.35,43303.15,43309.65
2023-05-08 11:54:59,43308.9,43310.25,43300.25,43302.7
2023-05-08 11:55:59,43300.2,43306.35,43296.15,43302.0
